population,gdp,clean_cons_per_capita,clean_consumption,clean_share_energy,fossil_cons_per_capita,fossil_consumption,fossil_share_energy,electricity_demand,energy_per_gdp
7991382.0,270000000000.0,1512.157,12.688,3.951,3354.211,264.149,67.742,58.02,1.443
8010425.0,280000000000.0,15493.871,124.113,31.78,32761.493,262.433,67.46,58.48,1.396
8039633.0,285000000000.0,14875.89,119.597,29.54,34883.267,28.449,69.183,61.28,1.421
8078994.0,291000000000.0,14639.161,118.27,29.13,3514.861,282.885,69.675,61.39,1.394
8120105.0,295000000000.0,1228.95,97.677,23.89,37821.49,37.114,74.859,63.67,1.393
8171215.0,304000000000.0,13327.169,18.9,26.59,377.588,32.396,72.367,65.01,1.376
8227034.0,312000000000.0,13496.536,111.37,26.116,37235.943,36.341,72.51,67.11,1.365
8267771.0,323000000000.0,13293.52,19.94,26.121,36338.645,3.44,71.49,68.62,1.302
8294720.0,336000000000.0,13811.195,114.56,27.819,34265.953,284.227,69.19,68.93,1.224
8321134.0,343000000000.0,14211.88,118.253,28.168,34636.167,288.212,68.655,69.36,1.224
8342939.0,331000000000.0,1591.376,125.97,3.953,3222.236,267.16,65.678,67.08,1.228
8362829.0,339000000000.0,14158.173,118.44,28.187,34355.194,287.37,68.395,70.35,1.239
8391201.0,350000000000.0,12661.654,16.246,27.1,32475.954,272.513,69.279,70.46,1.124
8429641.0,352000000000.0,15874.554,133.817,32.313,31476.33,265.331,64.7,71.5,1.175
8479542.0,353000000000.0,15332.974,13.17,31.611,31399.47,266.25,64.733,71.86,1.165
8546066.0,355000000000.0,15223.999,13.16,32.953,29272.24,25.163,63.359,70.89,1.111
8642422.0,359000000000.0,14269.57,123.324,31.199,29745.952,257.78,65.36,71.91,1.101
8736491.0,364000000000.0,14918.659,13.337,31.94,389.334,262.876,64.349,72.41,1.122
8797497.0,373000000000.0,14588.85,128.346,3.732,3192.335,273.535,65.498,73.97,1.119
8840518.0,382000000000.0,14162.256,125.22,3.699,3184.438,266.846,65.431,73.99,1.067
8190341.0,34255695872.0,553.826,4.536,3.446,15517.663,127.95,96.554,18.17,3.843
8282030.0,36862193664.0,461.489,3.822,3.12,14861.288,123.81,96.988,18.13,3.443
8372128.0,40295239680.0,74.247,5.896,4.71,14277.66,119.533,95.3,19.95,3.113
8462335.0,44994662400.0,846.493,7.163,5.278,15191.94,128.56,94.723,21.76,3.016
8556168.0,50107478016.0,927.863,7.939,5.159,1758.919,145.959,94.842,21.86,3.071
8656243.0,64019197952.0,995.485,8.617,5.165,18278.162,158.22,94.835,21.3,2.606
8763353.0,87026458624.0,817.578,7.165,4.366,1797.167,156.927,95.634,23.21,1.886
8878408.0,110000000000.0,752.894,6.684,4.53,15967.37,141.762,95.497,20.41,1.35
8999697.0,123000000000.0,696.918,6.272,4.185,15956.86,143.67,95.815,19.85,1.217
9119630.0,136000000000.0,77.546,6.453,4.871,13817.755,126.13,95.129,17.59,0.974
9237203.0,144000000000.0,135.688,9.566,7.311,13129.643,121.28,92.688,17.39,0.907
9359018.0,146000000000.0,788.716,7.382,5.78,14743.448,137.984,94.921,18.54,0.996
9485577.0,149000000000.0,526.385,4.993,3.337,15246.175,144.619,96.663,21.16,1.003
9614478.0,158000000000.0,422.569,4.62,2.641,15551.718,149.522,97.219,21.66,0.975
9741879.0,162000000000.0,362.877,3.535,2.256,15691.3,152.859,97.566,22.95,0.966
9863485.0,164000000000.0,449.589,4.434,2.588,1689.912,166.64,97.243,23.12,1.045
9976254.0,158000000000.0,541.35,5.4,3.182,16444.628,164.55,96.653,22.59,1.076
10071569.0,158000000000.0,477.135,4.86,2.886,1625.555,161.42,96.95,21.79,1.053
10152524.0,160000000000.0,492.519,5.1,2.92,16354.721,166.41,96.929,22.51,1.068
129193336.0,201000000000.0,17.143,2.215,1.627,136.477,133.96,98.372,14.87,0.678
131670488.0,213000000000.0,22.155,2.917,1.875,1159.468,152.668,98.125,16.39,0.73
134139824.0,226000000000.0,16.3,2.186,1.362,118.297,158.324,98.637,17.6,0.709
136503216.0,242000000000.0,15.932,2.175,1.279,123.329,167.943,98.721,18.59,0.702
138789728.0,260000000000.0,15.59,2.163,1.23,1252.258,173.8,98.77,23.26,0.676
140912592.0,280000000000.0,15.289,2.155,1.135,1331.353,187.65,98.865,25.43,0.677
142628832.0,303000000000.0,15.82,2.151,1.46,1426.363,23.441,98.954,29.25,0.678
144135936.0,327000000000.0,14.92,2.148,1.2,1444.987,28.274,98.979,29.21,0.643
145421328.0,350000000000.0,18.77,2.721,1.222,1512.384,219.933,98.778,32.32,0.637
146706816.0,373000000000.0,8.513,1.249,0.511,1659.185,243.414,99.489,35.07,0.656
